area_fips	annual_avg_emplvl	total_annual_wages
33001	25688	1066321740
33003	19999	714052303
33005	32006	1396268189
33007	11990	440560216
33009	53364	2937349165
33011	199731	11617849122
33013	76400	3760171046
33015	146932	7706409422
33017	47632	2396624704
33019	14203	598807223
33999	19403	2039476001
