area_fips	annual_avg_emplvl	total_annual_wages
28001	10448	344795380
28003	13968	473238534
28005	1772	56631508
28007	4567	141505063
28009	972	32202981
28011	11864	414797957
28013	3239	93599209
28015	1122	32618589
28017	5348	163964687
28019	2146	90483448
28021	3407	173247930
28023	2922	90300772
28025	5328	178254849
28027	8074	274340421
28029	7186	249925336
28031	5282	168539823
28033	58411	1935761705
28035	38915	1539695227
28037	1617	60113067
28039	4831	149739297
28041	1919	58739199
28043	10605	352650813
28045	13049	615569428
28047	84768	3131691421
28049	121018	5394532085
28051	3602	108769167
28053	2211	61013667
28055	193	4810256
28057	6281	212800122
28059	49507	2418360177
28061	3814	139374287
28063	1203	36144756
28065	1645	53190903
28067	27202	1018739124
28069	2803	161220881
28071	22872	926291272
28073	18921	555936737
28075	33590	1162932933
28077	2469	104544761
28079	4865	145313585
28081	53842	2029441941
28083	14281	467983932
28085	11848	418343504
28087	25191	992311547
28089	54853	2347257216
28091	8024	276068265
28093	6339	230824133
28095	9804	367624654
28097	2574	76130009
28099	12357	429677337
28101	5696	175446487
28103	2553	76367482
28105	20262	726021357
28107	10612	368787475
28109	10261	330627124
28111	2070	83864743
28113	14778	460912543
28115	12639	410691892
28117	7215	223452860
28119	1089	33736185
28121	61992	2420686431
28123	13737	443081308
28125	1184	33598908
28127	6867	198271840
28129	2747	103334627
28131	4137	134470037
28133	8471	267120282
28135	3038	96354954
28137	5522	175429237
28139	6535	207300546
28141	6146	193236440
28143	8621	271121447
28145	10592	420785934
28147	2402	69024435
28149	20212	840130838
28151	17366	583963627
28153	4872	164176138
28155	1912	58684484
28157	1675	49333617
28159	4642	159158527
28161	2832	93024379
28163	6225	239706788
28999	32886	1832926091
