area_fips	annual_avg_emplvl	total_annual_wages
47001	38942	2127178587
47003	18415	714793680
47005	3901	121721438
47007	2174	68615476
47009	47199	2131808274
47011	41724	1618070044
47013	9172	302567501
47015	2057	67444757
47017	7235	248799786
47019	10921	358100591
47021	7998	326570030
47023	3708	124641638
47025	8735	301534683
47027	1582	48075507
47029	7632	252180690
47031	25664	1105969186
47033	3709	143352728
47035	17825	589412054
47037	470477	26498825474
47039	3591	128796932
47041	5520	196598496
47043	16657	623015360
47045	15306	567819152
47047	7777	332841129
47049	4739	148122947
47051	11878	410881082
47053	13861	478660293
47055	10772	406007738
47057	3827	133410000
47059	25745	946547467
47061	2002	53168952
47063	30646	1146040547
47065	196794	9368208351
47067	849	21907261
47069	6628	247713483
47071	7845	332523341
47073	12619	489769857
47075	4966	187754522
47077	7738	280343779
47079	11308	408249442
47081	3722	131212977
47083	1487	43768426
47085	5779	266237676
47087	1377	45594710
47089	13003	518564721
47091	4277	172582414
47093	235681	10944227392
47095	1836	56170667
47097	6055	214496439
47099	10147	337040937
47101	2678	78232222
47103	9898	354817963
47105	15173	602159303
47107	17550	731486717
47109	5603	175709047
47111	4756	150394813
47113	58221	2375273420
47115	7444	265998574
47117	8772	332924392
47119	32297	1453220093
47121	1938	69321581
47123	13790	522563488
47125	51699	1862421447
47127	1953	85795698
47129	2913	93776697
47131	9736	340829101
47133	4616	160621221
47135	1963	57898797
47137	1050	32503288
47139	2365	74590295
47141	35322	1291643694
47143	11112	471300517
47145	18163	1095274599
47147	22503	845965477
47149	118753	5592704840
47151	5364	159539707
47153	2960	92901451
47155	45604	1337505204
47157	491027	26166453360
47159	4783	183459806
47161	2615	118423104
47163	68221	3090161507
47165	51343	2118876094
47167	10838	394909702
47169	1552	49720823
47171	4860	209346264
47173	2367	76027210
47175	773	24589013
47177	13779	512940695
47179	60837	2392291889
47181	3532	111079548
47183	10848	350484964
47185	6983	245792575
47187	123592	7507901711
47189	40178	1668083366
47999	61926	4171961914
