area_fips	annual_avg_emplvl	total_annual_wages
22001	14238	476797433
22003	7817	277178613
22005	44399	2403087802
22007	3856	154468069
22009	10564	310537779
22011	8640	325055335
22013	4247	154965025
22015	43592	1597278636
22017	114285	4815356108
22019	94283	4404524752
22021	2391	77313799
22023	11141	851975603
22025	1950	60537727
22027	3389	121732650
22029	5466	174722869
22031	6491	317702866
22033	268133	13386956969
22035	1874	54406904
22037	4870	190450721
22039	7996	267619577
22041	4601	133337600
22043	3366	128500348
22045	27404	1239576485
22047	15583	1030141610
22049	3598	132742250
22051	193457	9099600023
22053	8486	298745960
22055	130217	5962542630
22057	34694	1700805219
22059	4292	152099493
22061	18682	662791416
22063	26446	947611082
22065	3362	95326720
22067	6821	207493867
22069	13291	444075048
22071	193474	9692034670
22073	71415	2772136260
22075	13446	856361213
22077	4990	170255151
22079	58299	2286245706
22081	2492	92368301
22083	6451	209272972
22085	5243	177958981
22087	10323	460555243
22089	24788	1631799750
22091	1465	54117854
22093	7867	525104068
22095	14570	787235385
22097	23812	830391451
22099	12047	461398408
22101	22549	1087275724
22103	88119	3937817621
22105	42368	1478698523
22107	982	31395640
22109	51686	2533353561
22111	4838	147908278
22113	12729	486766652
22115	13255	489372878
22117	10483	360392784
22119	11631	435030077
22121	13206	669836088
22123	2433	83770302
22125	5256	262236805
22127	4721	164654029
22999	19542	1231998918
