area_fips	annual_avg_emplvl	total_annual_wages
39001	6042	219277227
39003	50406	2129979362
39005	18358	688126902
39007	30112	1066452697
39009	21089	838637072
39011	21127	877518025
39013	23084	863906481
39015	8081	279637658
39017	150345	7039725732
39019	6650	245285058
39021	10699	418554801
39023	47917	1826404798
39025	58254	2462063778
39027	16945	720207834
39029	29637	1048850522
39031	10288	377940053
39033	13424	480261915
39035	719480	38841905492
39037	18529	695034184
39039	15625	669707477
39041	85181	4457210145
39043	36970	1368246920
39045	42562	1542064074
39047	11842	389978369
39049	738559	39247216725
39051	18727	731023795
39053	10965	385276193
39055	34310	1384231250
39057	71731	3762013898
39059	15099	577063888
39061	509034	29261092587
39063	45397	2136147320
39065	8374	294955224
39067	3634	138961467
39069	11094	442664728
39071	10266	331911916
39073	6824	217700080
39075	19519	703794721
39077	21036	820142069
39079	10094	349347693
39081	20549	794853953
39083	20300	790113789
39085	94659	4092118538
39087	12553	423757195
39089	53504	2176098646
39091	19751	868811057
39093	97156	4027823704
39095	209850	9665009332
39097	17229	719910568
39099	97614	3618924653
39101	24151	954859064
39103	60041	2462249887
39105	3488	104871372
39107	19853	746879887
39109	40426	1636794980
39111	2680	82164699
39113	252750	11402911464
39115	2627	89214042
39117	5705	222039601
39119	33463	1257817989
39121	3079	111127223
39123	13630	559004274
39125	4884	168539942
39127	5706	187804051
39129	13568	560945733
39131	9636	446483715
39133	54470	2287830847
39135	10454	370836992
39137	11737	422283744
39139	50782	1846320770
39141	27771	1167255259
39143	25925	1000953096
39145	23806	856307491
39147	19256	678650199
39149	27233	1320173557
39151	158204	6217218019
39153	266282	12698758023
39155	69189	2784262292
39157	36331	1353085177
39159	31542	1794588257
39161	10853	388127183
39163	2222	77485243
39165	91010	4512816898
39167	24941	1086397134
39169	47407	1992659986
39171	17332	660369406
39173	65646	2828565861
39175	9250	364495354
39999	111883	8538230428
