area_fips	annual_avg_emplvl	total_annual_wages
49001	2719	92055174
49003	19982	729915536
49005	52930	1856308371
49007	8044	317460569
49009	404	13121825
49011	120916	5174140318
49013	7619	338066804
49015	3066	133723972
49017	2322	68808835
49019	5376	168172123
49021	16682	538202133
49023	3591	126058148
49025	3364	105132513
49027	4551	181458411
49029	2128	77601731
49031	246	6636240
49033	783	20887306
49035	668481	34198959707
49037	4083	145420144
49039	7378	226347557
49041	8389	284108843
49043	26513	1098277256
49045	15798	622852037
49047	12393	523817399
49049	219775	9378520007
49051	8151	303870138
49053	60188	2051516286
49055	997	28437312
49057	102007	4043236656
