area_fips	annual_avg_emplvl	total_annual_wages
54001	3277	113759794
54003	32942	1308856868
54005	4958	203430297
54007	3920	129170644
54009	8056	312714445
54011	51611	2114889121
54013	1210	49319337
54015	1391	43563013
54017	1442	64495645
54019	10659	368120683
54021	1972	73773392
54023	3482	143190798
54025	13129	460222567
54027	3953	122923829
54029	9749	356899915
54031	5956	192318141
54033	35206	1609901683
54035	7789	294917078
54037	15613	651525997
54039	101129	4587209991
54041	6210	252700329
54043	2561	91950776
54045	9780	381851111
54047	4321	167495958
54049	18149	728798806
54051	10195	503493600
54053	5514	232166269
54055	19478	674697330
54057	7710	298458505
54059	4770	194370177
54061	55283	2664532099
54063	1951	73950483
54065	2715	89455517
54067	7243	248361867
54069	28995	1161119999
54071	1492	45289644
54073	2832	133536340
54075	3030	92856539
54077	7274	273812761
54079	20502	981031798
54081	30982	1171870016
54083	11590	379863058
54085	3336	125640413
54087	2877	99015270
54089	2205	67932154
54091	3276	129249181
54093	2716	90557670
54095	2174	99140866
54097	7382	263332748
54099	8195	341103627
54101	1830	63608645
54103	4569	142966494
54105	556	16453111
54107	36598	1410364508
54109	4287	180515756
54999	24301	1439846401
