area_fips	annual_avg_emplvl	total_annual_wages
31001	15513	568609053
31003	2140	70828150
31005	84	2391184
31007	129	4459413
31009	125	4084794
31011	2371	81792494
31013	3860	132919795
31015	600	16897193
31017	1200	39706257
31019	27079	1021700164
31021	1881	63446475
31023	2556	97326468
31025	5647	203244151
31027	2658	89602919
31029	1824	63208132
31031	2389	69391939
31033	5485	277776073
31035	2420	97519731
31037	5153	214105473
31039	3723	138980904
31041	4501	160510729
31043	12469	515750270
31045	3309	104217005
31047	11436	409213761
31049	592	17873139
31051	1714	58300993
31053	17096	623803644
31055	336971	16754862817
31057	565	20135909
31059	2176	81887758
31061	753	23866832
31063	807	26508918
31065	2060	70542218
31067	9226	320258573
31069	559	17441040
31071	811	22545665
31073	395	13307254
31075	281	7820436
31077	616	18814893
31079	34742	1315336331
31081	3537	150128700
31083	840	25896874
31085	201	6335037
31087	688	26273251
31089	4594	156509751
31091	302	7528887
31093	1608	52125416
31095	3343	112654420
31097	1597	58391342
31099	2185	76999726
31101	3380	111390346
31103	151	3939101
31105	1352	48216847
31107	2966	91797123
31109	168495	7197226692
31111	14926	560333846
31113	187	5619606
31115	120	2702819
31117	78	2370739
31119	21672	823164913
31121	2263	82328017
31123	1527	54881874
31125	1053	34732632
31127	3095	155170068
31129	1438	43268330
31131	6283	226841370
31133	895	27213386
31135	1136	45194725
31137	4734	188134709
31139	2012	68580996
31141	18430	745910163
31143	1460	49360101
31145	5179	177332022
31147	2504	77218587
31149	471	15654599
31151	7135	285486457
31153	69149	3013110550
31155	5336	184246096
31157	17199	647874367
31159	6243	239636423
31161	1757	50251018
31163	817	23743949
31165	157	4994827
31167	1285	71552862
31169	2411	85077830
31171	274	7779390
31173	2933	120381166
31175	1800	59402333
31177	8070	410587337
31179	4122	143422625
31181	1070	31390319
31183	317	10669943
31185	7762	283596900
31999	18153	1202727429
