area_fips	annual_avg_emplvl	total_annual_wages
01001	10739	390543141
01003	70107	2405999881
01005	7937	280568726
01007	4144	162759631
01009	8147	275101272
01011	2963	97928586
01013	6903	230266148
01015	43763	1648250538
01017	8057	287998103
01019	5074	168109058
01021	9408	324905937
01023	3333	156752507
01025	8150	308458033
01027	3925	128504999
01029	2262	94315046
01031	15300	507599957
01033	23907	1009219193
01035	3428	118313507
01037	1344	48265212
01039	12155	417630642
01041	3807	134492247
01043	28794	1063303434
01045	16795	883749071
01047	12706	455642695
01049	20743	721086889
01051	19601	665139957
01053	12821	483458070
01055	36213	1279580557
01057	4050	129163013
01059	10333	348722704
01061	5010	156595544
01063	1746	58327464
01065	2732	96213221
01067	3242	132157905
01069	46885	1884507016
01071	16278	560819889
01073	340512	17904952121
01075	3427	126386765
01077	29434	993441759
01079	4694	154587126
01081	56746	2100078708
01083	22570	1052571483
01085	2413	107051190
01087	4765	198038903
01089	191678	10798130877
01091	7024	275624268
01093	9777	324635890
01095	35831	1228365231
01097	169094	7665234084
01099	6115	249773291
01101	131172	5874784095
01103	46691	2018244769
01105	2074	63166848
01107	3792	140143591
01109	13905	555247236
01111	4630	150459603
01113	13724	494443040
01115	19313	697284271
01117	84014	4240659417
01119	3037	113939666
01121	29093	1316928536
01123	13515	444023188
01125	91561	3937610240
01127	17995	641725799
01129	3572	208993147
01131	2745	113674130
01133	7434	250462394
01999	50160	3311528191
