area_fips	annual_avg_emplvl	total_annual_wages
35001	324566	14670919622
35003	639	18619162
35005	21671	731347704
35006	7922	282176468
35007	4797	145820813
35009	17047	600202417
35011	452	15828112
35013	71699	2606818006
35015	26488	1414025167
35017	9117	355159663
35019	1577	46388012
35021	157	5244638
35023	1604	59136440
35025	27609	1289488338
35027	6386	192388317
35028	15774	1272322283
35029	7909	261154261
35031	20652	682185742
35033	707	21428775
35035	17805	624182758
35037	2518	77064621
35039	9804	319207146
35041	5882	199112242
35043	29228	1214955740
35045	47819	2073188286
35047	8203	247224362
35049	60988	2628131237
35051	3399	99000090
35053	5344	191152292
35055	10555	329443088
35057	3171	106893319
35059	1383	44714815
35061	13614	423130971
35999	20901	1145746534
