area_fips	annual_avg_emplvl	total_annual_wages
17001	32322	1280316309
17003	1177	42305457
17005	4673	183397097
17007	17247	770804242
17009	4040	182041809
17011	11651	450885746
17013	771	19592179
17015	3955	129004638
17017	5447	188137468
17019	89623	4140749081
17021	10389	370294798
17023	4764	164132682
17025	5248	185757022
17027	12151	425911031
17029	23806	885815346
17031	2561922	160588008930
17033	7146	341980902
17035	2574	82325930
17037	37595	1525767670
17039	5226	253022384
17041	7413	274529474
17043	612265	37271356060
17045	7245	290130258
17047	2388	83909203
17049	20544	763425023
17051	5199	174309698
17053	4489	175930287
17055	8073	266395537
17057	8333	271393315
17059	1241	66188754
17061	2308	68781930
17063	18977	1033080837
17065	1905	75421101
17067	3868	127299262
17069	685	20880819
17071	1056	29874887
17073	14192	510259281
17075	7906	246526265
17077	24786	1020758218
17079	2044	77991456
17081	19692	810332342
17083	4930	160660881
17085	7580	252650417
17087	2355	102164916
17089	207883	9810315421
17091	43273	1757266674
17093	27327	1063562047
17095	19112	643517009
17097	332564	23543718585
17099	42914	1860531884
17101	4526	179481068
17103	13020	553845301
17105	13668	594167908
17107	9162	362688288
17109	11152	416385124
17111	96943	4267915417
17113	83683	4291447023
17115	49393	2407471815
17117	10135	345714996
17119	97974	4077139012
17121	12851	466931573
17123	2968	109405251
17125	3051	98919389
17127	3345	166376806
17129	1774	55159607
17131	3000	96753936
17133	8225	278045691
17135	8769	323700498
17137	14302	551401019
17139	4921	183829517
17141	15994	706876973
17143	100458	5125781077
17145	4752	175719982
17147	3298	114728546
17149	4059	130642535
17151	568	16786150
17153	1398	61797709
17155	1914	86467279
17157	12596	495218913
17159	6003	209269600
17161	71854	3866226920
17163	93274	3851931366
17165	7651	273100615
17167	128646	6698750648
17169	1539	58221241
17171	1019	35206587
17173	4798	149304177
17175	1355	47887632
17177	16223	681922426
17179	55061	3217585471
17181	4984	160998460
17183	27312	1114408840
17185	3242	109719530
17187	6321	214214441
17189	6131	274854077
17191	3802	122613951
17193	4227	152078583
17195	20919	751622207
17197	230559	10780905115
17199	27989	1067281782
17201	127007	5619749868
17203	9867	383432104
17999	133679	11145881013
