area_fips	annual_avg_emplvl	total_annual_wages
23001	49348	1974761578
23003	27206	969785517
23005	178895	8734641272
23007	10566	359228521
23009	22231	819673900
23011	59902	2421829490
23013	17639	651630817
23015	11177	383458199
23017	16672	588842745
23019	69443	2739157789
23021	5572	178076066
23023	15890	768912825
23025	16883	660180364
23027	11412	421808604
23029	10285	357334557
23031	70628	2985964145
23999	10035	703566680
