area_fips	annual_avg_emplvl	total_annual_wages
37001	59624	2306255393
37003	8885	288126762
37005	3283	94789666
37007	7290	240324891
37009	7035	231093800
37011	6767	205870368
37013	16202	586600139
37015	6210	191860842
37017	12959	445749474
37019	30894	1140515845
37021	127316	5170211211
37023	29387	1040887380
37025	72759	2948257760
37027	24103	854722813
37029	1367	49018562
37031	23099	736935510
37033	2967	94276181
37035	85479	3450263655
37037	14359	513583716
37039	7960	247644921
37041	4539	155002189
37043	2013	59126490
37045	34234	1304588588
37047	15499	526326924
37049	39424	1620953814
37051	119025	4817462006
37053	6463	214924639
37055	19138	611465925
37057	43104	1608301766
37059	12311	417535318
37061	20190	661825877
37063	195657	12790046319
37065	16869	579462620
37067	182389	8884848703
37069	11517	460362133
37071	70085	2701304965
37073	1460	46406960
37075	1928	61601814
37077	20889	893543825
37079	4139	133947214
37081	278182	12687430284
37083	15626	514630647
37085	24529	824838477
37087	17071	592457008
37089	36887	1382512292
37091	9029	317735885
37093	8238	281061093
37095	1941	60434793
37097	71664	3401282294
37099	13217	466801865
37101	46367	1755269393
37103	1613	53601099
37105	25622	982550911
37107	27721	977526002
37109	22339	847341178
37111	16120	547514149
37113	10985	356518665
37115	3721	119330954
37117	7099	212517597
37119	661927	41665118775
37121	4736	158572033
37123	9333	316948937
37125	34412	1290881602
37127	40282	1537162462
37129	109339	4661654524
37131	5355	186068721
37133	47913	1589121264
37135	70294	3731507366
37137	3376	95905691
37139	15773	561012168
37141	11370	379030036
37143	2050	65592947
37145	10141	384396042
37147	74952	3212763970
37149	5082	151757447
37151	44800	1547778830
37153	13492	452039808
37155	38583	1248261254
37157	26523	918869186
37159	47071	1967553162
37161	18141	605980936
37163	18408	651589922
37165	11736	411863885
37167	19060	641254521
37169	7016	213169515
37171	28475	959193308
37173	10332	352490011
37175	8827	292679821
37177	1139	34921268
37179	61388	2556101464
37181	15039	506973927
37183	530547	28783849097
37185	3422	102149115
37187	3465	135109639
37189	22735	784174973
37191	42150	1497800834
37193	21826	750738495
37195	37160	1519454567
37197	10121	329109379
37199	3730	115849693
37999	100977	8198487841
