area_fips	annual_avg_emplvl	total_annual_wages
30001	3827	134604742
30003	4629	182271049
30005	1457	50277398
30007	1391	48063879
30009	2638	85161402
30011	278	8308032
30013	35321	1375046049
30015	1146	35420762
30017	5325	192001819
30019	610	23897054
30021	3530	142223999
30023	3331	117525131
30025	1371	67969978
30027	4450	159405307
30029	41908	1646221327
30031	54480	2231972764
30033	295	7884907
30035	4150	152452262
30037	188	5236738
30039	888	27648734
30041	6865	252982600
30043	2563	107329900
30045	459	15032700
30047	8832	299940704
30049	35581	1567779702
30051	516	14805764
30053	5319	177510400
30055	553	20295679
30057	4004	140661319
30059	615	16992471
30061	1114	32694965
30063	58601	2314208138
30065	1211	55041082
30067	5786	192316437
30069	93	2524766
30071	1232	40703084
30073	1771	57040087
30075	552	16683671
30077	2305	88585704
30079	306	10578250
30081	11550	402872646
30083	5541	275774116
30085	3699	133356930
30087	4061	195220259
30089	2790	86373639
30091	1404	55259831
30093	15773	640895674
30095	3060	174389923
30097	1496	72204761
30099	1756	58610032
30101	1914	77366364
30103	193	6409689
30105	3219	113667086
30107	607	19218280
30109	288	8715811
30111	80961	3649951663
30999	7017	430707863
