area_fips	annual_avg_emplvl	total_annual_wages
36001	232495	12884610996
36003	13531	510010660
36005	299438	15047737050
36007	86485	3561554597
36009	29557	1136945088
36011	25976	1094731842
36013	49061	1825207977
36015	35517	1582894892
36017	17507	760414938
36019	33268	1421503292
36021	21837	882733112
36023	18054	680737619
36025	14597	597108290
36027	110272	5640087451
36029	466253	21928929424
36031	14685	563087496
36033	18053	743262830
36035	17111	653098179
36037	23298	904496328
36039	14454	584762126
36041	1863	59726833
36043	16620	602338508
36045	41304	1627216609
36047	687358	30522941204
36049	6452	239755388
36051	20201	746499442
36053	21153	814115711
36055	383990	18978317328
36057	18980	731280606
36059	622087	37285074410
36061	2415773	274236493774
36063	72963	2977535282
36065	104211	4285555233
36067	243700	11868814971
36069	52614	2445324664
36071	140467	6304273632
36073	12658	506139947
36075	33958	1477284808
36077	23470	960004734
36079	26157	1334776607
36081	647912	32852568100
36083	52034	2554894298
36085	115173	5402721705
36087	121227	6343951064
36089	34974	1483888236
36091	84196	4037247576
36093	62878	3455795060
36095	8587	318306108
36097	4886	177242754
36099	11476	504851015
36101	36901	1959827830
36103	650509	37320530795
36105	26239	1023402269
36107	13004	649183924
36109	50386	2517435171
36111	59989	2481596867
36113	38531	1577112430
36115	15251	645925304
36117	28740	1173802039
36119	422288	29307634831
36121	13569	550409843
36123	7053	236433376
36999	160795	14338125155
