area_fips	annual_avg_emplvl	total_annual_wages
27001	3901	133165685
27003	121026	6095475327
27005	14261	527399476
27007	19292	759148317
27009	17173	679277250
27011	1823	68731718
27013	39335	1606985583
27015	13857	546200734
27017	13555	562130780
27019	37498	1916506820
27021	10056	308033698
27023	5673	213792790
27025	15347	642435189
27027	18654	709828234
27029	2767	109324792
27031	2843	87626352
27033	4449	161508640
27035	29042	1106741363
27037	186981	9632045825
27039	5922	253788100
27041	18347	742386196
27043	4690	174679452
27045	6126	199810802
27047	12048	477513658
27049	21450	954693453
27051	1869	67951717
27053	901095	60245319854
27055	5144	166880396
27057	5983	211121207
27059	10865	418275573
27061	15738	625067344
27063	5429	193668649
27065	3900	141978656
27067	23332	880217371
27069	1466	53708672
27071	4526	176100388
27073	2206	73111077
27075	3925	154059246
27077	1596	51726815
27079	9144	365153601
27081	1711	57980436
27083	14581	590402176
27085	16555	719095381
27087	1935	65474906
27089	2211	89506402
27091	8774	338233773
27093	7269	261486452
27095	9425	319670979
27097	10906	376857939
27099	16568	804753335
27101	2962	103802508
27103	14511	595150069
27105	10359	422124775
27107	1691	59763256
27109	95901	5517217759
27111	22539	840367156
27113	10450	434969137
27115	8227	250768095
27117	4450	157129238
27119	12301	468437084
27121	4176	174582250
27123	327317	19813177408
27125	1002	34718160
27127	6620	233103577
27129	5480	217053161
27131	24559	1068659885
27133	3580	126077928
27135	8094	335310350
27137	97263	4183652324
27139	48089	2270674605
27141	25624	1084184283
27143	4368	167070624
27145	85399	3779165599
27147	21597	890759391
27149	5440	230160812
27151	3558	130288332
27153	5928	217459216
27155	1070	36479830
27157	6691	236448759
27159	5837	220813897
27161	6478	250361738
27163	81944	3693813738
27165	4142	142991435
27167	2018	87558571
27169	24791	982575737
27171	42321	1702512075
27173	4061	144009905
27999	62144	5440168077
