area_fips	annual_avg_emplvl	total_annual_wages
34001	124840	5522248747
34003	444086	28151198775
34005	200809	10909801214
34007	201214	10382352250
34009	40684	1504960798
34011	59099	2630663081
34013	336420	22292919728
34015	105074	4783454216
34017	252557	18135640501
34019	46686	2900540250
34021	245383	17010949484
34023	413524	26282738280
34025	256634	13440873432
34027	285590	22755010699
34029	162187	6940741905
34031	165631	8590920820
34033	20660	1144990340
34035	184061	15640154613
34037	38696	1722096801
34039	217047	14706524363
34041	33319	1613857617
34999	119771	11155121799
