area_fips	annual_avg_emplvl	total_annual_wages
25001	96271	4354695003
25003	61618	2774778803
25005	223466	10680150249
25007	8843	436108836
25009	322726	18075239165
25011	26730	1085784411
25013	207091	9920450319
25015	64054	2879734478
25017	888073	70723702277
25019	7293	402389987
25021	349730	21806070399
25023	189237	9411812471
25025	659565	60143446848
25027	340503	17932474910
25999	49352	5018817190
