area_fips	annual_avg_emplvl	total_annual_wages
72001	1883	35515590
72003	4134	75547061
72005	17904	535568613
72007	1771	35453191
72009	5546	141105436
72011	5171	142409387
72013	20584	525440543
72015	2549	69575426
72017	9631	283831261
72019	3008	65779217
72021	55329	1349906478
72023	6041	105330834
72025	45994	1133956399
72027	3476	67083461
72029	5576	132747942
72031	46084	1187226139
72033	10300	312395635
72035	9806	272716508
72037	1093	22589139
72039	1584	30032423
72041	5886	159682060
72043	3766	75408244
72045	2106	40043952
72047	3923	77583432
72049	462	8250015
72051	8326	218252679
72053	11393	292183039
72054	1125	22513514
72055	2466	45766188
72057	10851	286869612
72059	2238	50409780
72061	46817	1558511030
72063	6431	185263099
72065	8232	158498187
72067	2415	44046665
72069	16515	457347833
72071	6558	153963633
72073	2844	75559983
72075	6461	157571930
72077	6598	344335944
72079	2915	50775618
72081	3576	62292723
72083	1285	20847488
72085	6861	212741421
72087	1562	29950083
72089	1973	41533127
72091	13737	391607534
72093	1293	27984417
72095	1292	37047149
72097	30892	734942701
72099	4095	74612752
72101	2298	45452562
72103	2055	44227986
72105	2922	60613904
72107	3017	54778365
72109	1597	33463370
72111	2696	58810108
72113	48056	1130160624
72115	2195	42044681
72117	1787	33435370
72119	5964	136965004
72121	3134	58053627
72123	3472	87392165
72125	8819	200853864
72127	246923	8156511219
72129	4729	133368916
72131	5250	92774339
72133	6887	128351001
72135	3468	76066805
72137	12587	300947998
72139	10192	181395684
72141	3858	84342293
72143	4470	96562732
72145	7940	211469263
72147	1861	40420548
72149	3405	88585226
72151	2914	59090428
72153	6039	120255663
72999	1938	99610015
