area_fips	annual_avg_emplvl	total_annual_wages
06001	751599	53035088461
06003	770	27452466
06005	11648	492835580
06007	80802	3193940757
06009	9139	348862422
06011	9028	367287660
06013	359242	23418019657
06015	8151	303637605
06017	53889	2530472919
06019	374939	15657982463
06021	8946	341185889
06023	48260	1849665065
06025	62910	2348677973
06027	7606	316943375
06029	314213	13873483642
06031	45883	1874506528
06033	16102	580700296
06035	10239	457799881
06037	4344132	260304977202
06039	48327	1970035796
06041	114063	7666308735
06043	5350	204021085
06045	31915	1196738222
06047	76874	3128443102
06049	2609	96123911
06051	7071	257751061
06053	188586	8566593991
06055	75503	3939217063
06057	30590	1323759896
06059	1559959	93282751963
06061	156271	8362480186
06063	6098	242549545
06065	689386	29645343650
06067	638422	36651935491
06069	17042	756688134
06071	706208	31519919827
06073	1405808	81815784606
06075	703188	71483276435
06077	239314	10627387803
06079	114421	5068224698
06081	391640	42089137132
06083	194999	9893060460
06085	1046049	123484418547
06087	103503	4916074608
06089	64717	2633797514
06091	517	19547848
06093	13672	523675721
06095	135792	7427140921
06097	201875	10153630234
06099	183977	8219077793
06101	29998	1191807524
06103	17687	713230504
06105	2695	99249341
06107	160995	6128879866
06109	17492	712778763
06111	319053	17105670397
06113	100297	5609652959
06115	16685	798985373
06999	382504	31828141636
