area_fips	annual_avg_emplvl	total_annual_wages
38001	990	37624419
38003	4673	178456011
38005	1980	72878991
38007	470	17190998
38009	2515	103564552
38011	1644	68891739
38013	705	34626485
38015	57973	2827538169
38017	116890	5604740240
38019	1455	58853331
38021	1910	66915716
38023	879	42640481
38025	2005	130029483
38027	720	23652252
38029	969	33132772
38031	1641	69722632
38033	671	24485826
38035	40857	1802794621
38037	562	19009478
38039	894	30749897
38041	746	30435150
38043	681	24256498
38045	1425	53623486
38047	638	19648929
38049	1318	55568107
38051	1071	36412271
38053	8628	596240449
38055	3541	188529476
38057	5387	371688143
38059	11124	500187182
38061	5699	359029674
38063	1023	33783902
38065	889	63757976
38067	3648	158878368
38069	1747	67571738
38071	6110	261360592
38073	2086	74053008
38075	719	29176706
38077	7874	317235153
38079	4518	168701141
38081	2893	120641175
38083	237	6292215
38085	1611	67225084
38087	147	8005649
38089	18575	1040478010
38091	611	27805786
38093	11448	472658899
38095	823	27673160
38097	3354	138873845
38099	5073	191643682
38101	32276	1500821920
38103	1560	51451676
38105	26170	1831823415
38999	3065	243008850
