area_fips	annual_avg_emplvl	total_annual_wages
48001	20430	845584318
48003	6801	385554251
48005	35842	1380054063
48007	6246	224308416
48009	1664	57068449
48011	385	13741383
48013	11973	516569178
48015	10187	444496045
48017	2516	95682023
48019	3173	108608571
48021	17100	620686058
48023	1204	40570354
48025	9013	334735246
48027	116479	5142613340
48029	841335	40249743781
48031	3016	125969310
48033	249	7850429
48035	3688	130318429
48037	42263	1621342587
48039	105991	5718770840
48041	99930	3901950599
48043	3763	142696531
48045	326	9934939
48047	2369	92977393
48049	15878	561860364
48051	3880	154538721
48053	13744	555009306
48055	8217	294619744
48057	11120	693354398
48059	2145	78513939
48061	138490	4439945224
48063	3816	143442287
48065	4715	370500108
48067	7379	271356858
48069	2571	92537731
48071	13550	813988053
48073	14760	509238712
48075	2530	96943077
48077	1303	43555013
48079	705	26650026
48081	683	22645138
48083	2065	62260980
48085	380419	23885806934
48087	874	35972813
48089	6882	270323099
48091	51382	2154525766
48093	3608	115585116
48095	838	32077270
48097	14349	618615695
48099	16485	634640011
48101	490	18216463
48103	1339	72973326
48105	1504	55041352
48107	1454	50322967
48109	1251	49465467
48111	4426	187906117
48113	1651334	107106176489
48115	4331	160735169
48117	7573	297315859
48119	1296	27373877
48121	227819	11081914267
48123	7331	297314978
48125	452	14959592
48127	5341	251015213
48129	978	30237637
48131	3178	118722413
48133	6626	265338996
48135	67104	3504161392
48137	376	12299934
48139	48584	2024940131
48141	296977	10979206323
48143	16278	543908445
48145	3124	112475788
48147	7301	280040701
48149	9183	342857296
48151	944	36018462
48153	1646	56906333
48155	329	9232451
48157	173591	8629139251
48159	2977	114067002
48161	4973	216832633
48163	6160	271620399
48165	6167	291877240
48167	107732	5055726562
48169	1814	67606857
48171	10406	379941610
48173	559	24705697
48175	1259	43208891
48177	7073	273184043
48179	7812	357294651
48181	45095	1848292145
48183	74292	3242600154
48185	7079	317353474
48187	38573	1563724778
48189	11811	412370107
48191	781	22741320
48193	2467	85608889
48195	2168	107765005
48197	1177	40048990
48199	12801	519664974
48201	2266730	153565486584
48203	23139	1084392580
48205	2498	95162688
48207	1673	54276708
48209	63865	2449743580
48211	2028	116149816
48213	16800	559925922
48215	249614	8236014038
48217	9631	372353515
48219	9561	425557858
48221	15723	634067718
48223	12730	469415281
48225	6972	318611530
48227	12527	575877501
48229	1182	65819493
48231	29119	1470765054
48233	8819	542786539
48235	983	63238546
48237	3063	145151561
48239	5578	230876315
48241	9931	379698667
48243	953	29930209
48245	122507	6767916397
48247	1664	65339268
48249	15971	622310890
48251	44756	1809149622
48253	3038	111786576
48255	5572	281951293
48257	30076	1199813502
48259	14706	693691645
48261	479	25519265
48263	271	10274684
48265	17740	719053270
48267	1322	43453316
48269	84	3257667
48271	775	34179672
48273	12134	433740313
48275	1170	47649465
48277	20937	862084912
48279	3868	143138098
48281	4471	147394531
48283	2981	174934928
48285	5553	202216820
48287	6827	322479970
48289	5039	236250459
48291	16510	665734285
48293	7634	296322163
48295	1272	53514860
48297	3679	185339659
48299	4624	159670572
48301	74	2881633
48303	137296	5647910325
48305	1431	55561774
48307	2836	103694312
48309	110666	4782693713
48311	585	30645998
48313	4765	168157028
48315	1965	62610283
48317	1945	94963767
48319	1079	32453262
48321	10782	550293233
48323	17741	563075564
48325	9302	321521801
48327	404	10660074
48329	83625	5357482801
48331	5817	255872951
48333	1284	41357189
48335	2129	86581616
48337	4697	175280728
48339	168572	8823879824
48341	10847	479911497
48343	3571	143418057
48345	340	9004243
48347	22486	812241411
48349	16317	576307378
48351	1358	42339237
48353	5985	243103801
48355	161769	7338876250
48357	4465	214300209
48359	1104	50837850
48361	22238	1081838218
48363	8419	339819290
48365	8181	351325689
48367	31365	1299975967
48369	5747	221852566
48371	5684	243958753
48373	10949	405936847
48375	79111	3369766870
48377	2180	84543054
48379	1826	54550484
48381	30104	1238213017
48383	1717	85629054
48385	736	18736980
48387	2583	81402710
48389	4455	182855366
48391	2200	83912857
48393	267	10636647
48395	3961	169148986
48397	28143	1136529296
48399	2862	96275886
48401	13300	584007628
48403	2209	77862740
48405	1590	58466163
48407	2065	68523511
48409	19222	889788342
48411	1782	63203656
48413	798	32901779
48415	7093	342640191
48417	1286	57075645
48419	8240	297803509
48421	1029	41670186
48423	102335	4424684229
48425	3826	226247248
48427	15381	454182479
48429	3126	112123395
48431	588	24481902
48433	500	17386196
48435	1884	111211697
48437	1951	66184253
48439	855756	44816987864
48441	60275	2344370290
48443	288	11970347
48445	3866	157550609
48447	488	16402346
48449	15592	563706877
48451	46911	1861049598
48453	705811	43169140413
48455	2340	78304302
48457	3864	133851281
48459	6631	237179132
48461	1533	92526259
48463	10067	327248849
48465	17363	625107294
48467	10645	354679140
48469	39247	1700487372
48471	24668	949408398
48473	15980	686004186
48475	4335	224802436
48477	14758	551379725
48479	98546	3421188552
48481	15409	556368314
48483	2094	78035316
48485	53305	2058725350
48487	5967	216097186
48489	3510	116106197
48491	158526	8149081361
48493	7670	268603534
48495	2468	133320077
48497	19242	825143461
48499	9858	350646744
48501	3740	197665449
48503	6844	272981709
48505	3266	143992876
48507	2631	80506422
48999	253593	20817321310
