area_fips	annual_avg_emplvl	total_annual_wages
56001	15739	615549367
56003	4213	167614747
56005	24978	1351496194
56007	7148	334522051
56009	5786	286786282
56011	2336	93952757
56013	15541	606498618
56015	4383	156311608
56017	2011	68776933
56019	3101	111284774
56021	45587	2013962245
56023	6114	273706489
56025	38505	1765613559
56027	909	31103596
56029	13811	539233841
56031	3474	150095321
56033	13370	531675687
56035	3901	209273732
56037	22340	1257096313
56039	20232	891064321
56041	8311	328088645
56043	3670	147498202
56045	2316	85752278
56999	4039	207547692
