area_fips	annual_avg_emplvl	total_annual_wages
55001	4531	158833727
55003	8055	289199916
55005	21473	776270566
55007	4039	109357033
55009	153891	7247850993
55011	3783	134017120
55013	4614	146616032
55015	13933	517794130
55017	24321	924356201
55019	10894	387111546
55021	21914	847489814
55023	7456	250749460
55025	329751	17454061931
55027	35002	1472841518
55029	13611	449937372
55031	15414	595728581
55033	17281	671748521
55035	57198	2408217838
55037	998	26494266
55039	46147	1974990080
55041	3127	108384203
55043	17715	633084207
55045	15901	599407674
55047	6120	222110227
55049	10084	390127835
55051	1672	49408305
55053	8625	335899355
55055	32402	1261581129
55057	9271	352901027
55059	63724	2599523151
55061	7079	259653023
55063	69030	2899234170
55065	4073	136820072
55067	7418	247508402
55069	10820	452993681
55071	33439	1393869952
55073	70342	3034341298
55075	18468	733127219
55077	3753	124037017
55078	2082	64820056
55079	484344	24900962428
55081	20203	783570463
55083	8975	287829585
55085	16592	635280914
55087	106965	4848895199
55089	43107	1909984227
55091	2277	81314202
55093	9990	347031283
55095	16068	577088107
55097	33883	1404957915
55099	5700	209772874
55101	74164	3389872785
55103	5839	199493524
55105	65042	2790136644
55107	5177	176716446
55109	33075	1278407536
55111	36158	1329757909
55113	6754	223833419
55115	12583	398245601
55117	59750	2747536827
55119	8089	292580488
55121	14415	552230933
55123	8925	293794770
55125	7609	233921781
55127	40903	1515418397
55129	5855	189854537
55131	54355	2331793025
55133	238806	12675164866
55135	20135	734192504
55137	6049	191084316
55139	92843	4614282852
55141	38090	1659110323
55999	56002	3572615779
