area_fips	annual_avg_emplvl	total_annual_wages
40001	4359	145270186
40003	1492	58432289
40005	3327	99291685
40007	1522	58617195
40009	9449	408015665
40011	2950	110880508
40013	16593	593459070
40015	7224	266306113
40017	31583	1239599617
40019	24009	970586985
40021	15708	534136151
40023	4141	126295084
40025	731	22872942
40027	79653	3075764822
40029	1144	35184783
40031	42903	1604613393
40033	1453	46325583
40035	5457	184457559
40037	18211	734142815
40039	12138	458565314
40041	8899	272455091
40043	1627	67907463
40045	1206	43433927
40047	26523	1204090574
40049	9637	397191683
40051	12381	439510264
40053	1505	68878364
40055	1195	34822452
40057	676	22191378
40059	1168	40898631
40061	3495	99233904
40063	3024	84795622
40065	9527	349197990
40067	1139	38434657
40069	3261	104047162
40071	17591	707048174
40073	6193	275447048
40075	2172	74375193
40077	2884	118530661
40079	12796	440082335
40081	6414	217787979
40083	7300	239357991
40085	6255	195421872
40087	8833	312022726
40089	11176	373435087
40091	3925	114063291
40093	2409	89488286
40095	4050	139529618
40097	12539	515534962
40099	5510	182522247
40101	29629	1145677518
40103	4688	193451605
40105	1666	51541129
40107	2374	70969214
40109	447610	22162244956
40111	9751	334953354
40113	6665	237025296
40115	12126	382416112
40117	3388	120353309
40119	33656	1299043474
40121	16169	677089313
40123	18196	729639573
40125	22981	767221256
40127	2786	84167265
40129	787	31762393
40131	26341	1140497261
40133	7052	242657489
40135	8776	239002654
40137	13910	558682376
40139	9696	368389082
40141	1899	66186180
40143	349471	16743247376
40145	8782	333622510
40147	20309	1014801272
40149	1887	63292111
40151	3808	156904762
40153	8666	373090415
40999	23555	1573076539
