area_fips	annual_avg_emplvl	total_annual_wages
46003	872	26871630
46005	8563	328184048
46007	888	26781809
46009	1762	57544993
46011	18494	766866571
46013	20940	834178397
46015	1862	57304774
46017	518	19144020
46019	2838	92524228
46021	479	15544370
46023	3397	110407097
46025	1015	32555911
46027	5664	203589370
46029	15871	590293726
46031	851	29745112
46033	2331	78210314
46035	12431	468460199
46037	1934	58058209
46039	1368	54217238
46041	2199	82233517
46043	1139	38053211
46045	1217	45015487
46047	2450	85718645
46049	600	19378466
46051	3752	144402885
46053	1505	44694072
46055	790	27825467
46057	1903	66457595
46059	1379	44677905
46061	628	22498715
46063	442	17253930
46065	10888	458426928
46067	2621	87817305
46069	534	20390798
46071	712	20017042
46073	1365	47566997
46075	440	12472657
46077	1735	60308555
46079	4850	184415471
46081	11775	391803774
46083	20785	977867997
46085	1435	41492128
46087	1354	46359802
46089	606	18122577
46091	1651	59431429
46093	6878	264885552
46095	326	8480102
46097	725	23189959
46099	124333	5745191488
46101	2367	87214114
46102	3718	142074777
46103	56347	2252870236
46105	1215	37211563
46107	868	28601867
46109	3579	118882355
46111	574	17906906
46115	2391	84819360
46117	1315	45108037
46119	588	20351307
46121	2844	101774209
46123	2125	69975795
46125	2062	68390590
46127	9547	497803498
46129	2177	71422146
46135	12641	499188909
46137	303	10028560
46999	2707	203114648
