area_fips	annual_avg_emplvl	total_annual_wages
02013	2473	127157843
02016	3689	210414054
02020	151070	8445356356
02050	6897	283842964
02060	1178	61572753
02068	2134	94594658
02070	2545	109339206
02090	36571	1885721609
02100	955	34344737
02105	775	27827770
02110	17468	891412924
02122	19702	932071624
02130	7308	332985853
02150	6206	265312160
02158	2310	62715697
02164	828	31485282
02170	22959	963369366
02180	3751	180127512
02185	13868	1350616831
02188	2804	183424670
02195	1264	53146509
02198	2071	82795188
02220	4149	181420420
02230	891	34604943
02240	2505	162201252
02261	4766	255923397
02275	861	32391683
02282	263	10484087
02290	2077	82712525
02999	1960	121803869
