area_fips	annual_avg_emplvl	total_annual_wages
12001	126846	5613847643
12003	7477	240134207
12005	77408	3001074131
12007	6437	229745997
12009	201065	9405461378
12011	782923	38792002591
12013	2847	82727286
12015	46317	1683906647
12017	32319	1146512416
12019	49987	1836622214
12021	140728	6392912418
12023	24561	876373362
12027	8585	297200890
12029	2582	86146844
12031	486433	24598292896
12033	130114	5417501984
12035	22587	749416150
12037	3322	100369586
12039	12760	430627952
12041	3389	112730016
12043	1517	59997709
12045	3801	130529308
12047	3268	124869519
12049	7106	236511937
12051	11869	440368773
12053	41159	1412993836
12055	27365	898671695
12057	665072	34049799402
12059	3272	95891194
12061	50098	2049134829
12063	14328	485890974
12065	2481	82559503
12067	1376	42736675
12069	92903	3344554267
12071	250630	10497456392
12073	146254	6272442260
12075	8700	268946123
12077	1885	65046304
12079	4226	134281875
12081	118423	4845093264
12083	99953	3707405151
12085	65338	2656829951
12086	1107359	56761703459
12087	41632	1628652866
12089	21070	818977700
12091	81574	3539363780
12093	11110	384862036
12095	793424	37283357555
12097	88208	3195992432
12099	584989	30322032857
12101	112821	4197350830
12103	417990	19619730657
12105	209550	8433358948
12107	16388	594048850
12109	69749	2855338468
12111	72724	2815424964
12113	36084	1312629089
12115	163533	7132369062
12117	183001	8159736842
12119	27111	1030458902
12121	11433	369968976
12123	6679	253885311
12125	3636	128612582
12127	167484	6339067235
12129	5496	186829167
12131	24767	881252316
12133	5755	193253708
12999	256077	19399768315
