area_fips	annual_avg_emplvl	total_annual_wages
08001	198368	10155935204
08003	8062	290569525
08005	321758	20028935406
08007	4066	134397934
08009	1100	31872107
08011	1195	38002398
08013	176652	10955951640
08014	36968	2998237576
08015	7541	259649683
08017	687	27130493
08019	2876	129986513
08021	1459	42813701
08023	864	23703216
08025	1092	41684768
08027	866	28549509
08029	8361	273957564
08031	494890	32273848365
08033	508	16587050
08035	116821	6990469535
08037	31721	1382331601
08039	3509	134894040
08041	263521	12430366937
08043	13412	514185433
08045	25585	1194409186
08047	4960	206538788
08049	7335	246975891
08051	8201	290947678
08053	276	7972082
08055	1727	53618447
08057	546	18433656
08059	233337	12565367759
08061	431	14953903
08063	2977	103866231
08065	2261	75914560
08067	26298	1176704968
08069	153102	7340658894
08071	4768	173103084
08073	2151	77423495
08075	8143	300699082
08077	59593	2433887117
08079	541	15153579
08081	4678	215438906
08083	8997	310212341
08085	14416	542492195
08087	11851	481377263
08089	6013	198322329
08091	1688	57391951
08093	2439	88818961
08095	1656	59002357
08097	16128	816894881
08099	4392	140322659
08101	59904	2407917122
08103	2740	132625212
08105	3881	137789818
08107	14584	630747077
08109	1596	48909928
08111	296	7794476
08113	5180	206582571
08115	789	25778915
08117	20897	796230144
08119	7117	262864230
08121	1214	45735493
08123	100194	4634743227
08125	3900	142566175
08999	19426	1638141963
