area_fips	annual_avg_emplvl	total_annual_wages
21001	4442	137129144
21003	4530	157164532
21005	4563	163611383
21007	1697	83573019
21009	17036	594042373
21011	1933	64937637
21013	8291	272467438
21015	83884	3895362616
21017	6635	259311686
21019	24239	1074638343
21021	13780	535835600
21023	1363	48833033
21025	3091	103905568
21027	3399	109078348
21029	24271	851440711
21031	3131	104576450
21033	4189	133598612
21035	16479	549279387
21037	29907	1243243188
21039	1227	50334141
21041	6944	384745821
21043	5526	172462112
21045	3913	121225112
21047	31163	1242976363
21049	14485	586217028
21051	4181	143288826
21053	3688	110729682
21055	2161	67913198
21057	1695	58455830
21059	45567	1813149085
21061	1506	48481106
21063	918	28183619
21065	2355	76172906
21067	192405	9073239326
21069	2951	96255780
21071	10657	413907188
21073	31765	1369822546
21075	2057	66218066
21077	2589	114589866
21079	2197	74015070
21081	4996	188304305
21083	10855	387182625
21085	7736	255948279
21087	1705	49560351
21089	7868	294830369
21091	4142	276289266
21093	48041	1966896133
21095	5959	202192819
21097	4828	191551589
21099	5115	173246571
21101	19974	793056431
21103	2614	94092996
21105	1026	29887653
21107	17986	730548605
21109	1747	54676759
21111	459791	24006257962
21113	16672	626575412
21115	5299	172651319
21117	64306	3298724938
21119	2319	74731222
21121	7587	238668001
21123	2643	84080312
21125	26412	929539095
21127	3174	111757058
21129	1479	50866598
21131	1670	59284784
21133	4278	145152925
21135	1947	59050559
21137	4122	131301840
21139	2638	110315281
21141	8378	350593684
21143	2444	71742795
21145	39323	1648008419
21147	2581	88534243
21149	2070	73132274
21151	33566	1285346769
21153	1630	47755985
21155	8540	322610831
21157	11193	533959595
21159	2465	98389814
21161	8612	334194482
21163	4146	152791036
21165	885	27666469
21167	6464	299295438
21169	1843	60253525
21171	3173	96158546
21173	11026	400842324
21175	2912	97945317
21177	8929	375333509
21179	15406	596624556
21181	816	24216637
21183	7452	245888932
21185	15514	651047844
21187	1723	63781975
21189	676	18144724
21191	2279	91058302
21193	11197	411527705
21195	20318	845010592
21197	2575	77530006
21199	25607	890742765
21201	301	7789693
21203	3524	116372212
21205	10326	347009085
21207	5535	166179882
21209	26087	1395985152
21211	16285	634013574
21213	8648	324444734
21215	1844	66149082
21217	11785	392597398
21219	2304	69565103
21221	3050	98024648
21223	1078	49569030
21225	5020	204415257
21227	63089	2565071258
21229	3337	126115714
21231	5459	168607717
21233	3066	144130726
21235	11660	428390998
21237	1224	34403363
21239	9044	377434389
21999	28921	1792960076
