area_fips	annual_avg_emplvl	total_annual_wages
16001	226196	10408917456
16003	1088	39155115
16005	33130	1147443296
16007	1590	44003819
16009	3435	131939329
16011	15063	506327864
16013	12456	497955827
16015	1516	41202466
16017	13477	455554813
16019	48941	1720772069
16021	3471	118901033
16023	7637	670082820
16025	379	19272862
16027	61123	2124748362
16029	3209	170879099
16031	10996	377676276
16033	423	17190829
16035	2761	99475593
16037	1450	45293859
16039	6706	217499867
16041	3482	99361691
16043	2845	94457426
16045	3649	111204958
16047	6094	206862550
16049	4214	146214607
16051	6307	193081778
16053	9934	351727529
16055	58057	2125817490
16057	13622	468673335
16059	2373	75841163
16061	1597	49149125
16063	1495	49869846
16065	14741	431569878
16067	7708	275715774
16069	21353	852729550
16071	1165	29769935
16073	3090	98809318
16075	6151	209663124
16077	3252	130821539
16079	4582	187823672
16081	3050	100380410
16083	37425	1247982784
16085	4313	151543665
16087	2764	82858848
16999	9608	640606869
