area_fips	annual_avg_emplvl	total_annual_wages
41001	5374	188114925
41003	36674	1791522505
41005	157789	7811624328
41007	18134	645481045
41009	10907	408443030
41011	22448	831850055
41013	6038	270398000
41015	6558	223649971
41017	76668	3217550047
41019	37355	1446866382
41021	778	30632810
41023	2422	89274140
41025	2427	84161291
41027	13279	483888493
41029	85168	3433620681
41031	6655	243310663
41033	25838	903390142
41035	22649	834221732
41037	2466	92777529
41039	151396	6288570575
41041	17972	638326592
41043	44961	1841832573
41045	12880	436054884
41047	149278	6411508637
41049	5726	293983829
41051	492062	27281114232
41053	19630	691853344
41055	844	38325117
41057	9306	343495288
41059	30435	1139950476
41061	9976	363586825
41063	2558	86183665
41065	11889	452524104
41067	283114	18661869051
41069	287	8460577
41071	34507	1360575221
41999	24425	1706377414
