area_fips	annual_avg_emplvl	total_annual_wages
13001	7083	300613986
13003	2004	66690521
13005	4010	133595764
13007	435	15183879
13009	15356	504289931
13011	4053	125775126
13013	17702	661703820
13015	35317	1494645412
13017	5616	171380484
13019	3551	116496518
13021	81413	3339659096
13023	2629	78399664
13025	2249	66524295
13027	3076	99245124
13029	7781	262682401
13031	25179	845063303
13033	10259	711010736
13035	6089	208634429
13037	1057	31622163
13039	13760	562817432
13043	2881	80289441
13045	39036	1612248659
13047	14092	464101008
13049	2152	71109103
13051	149090	6613717155
13053	2234	98420732
13055	6200	199898818
13057	55973	2210717077
13059	68723	3047826387
13061	542	15858792
13063	120544	6465630178
13065	2391	83835010
13067	345651	19512810420
13069	16713	541866436
13071	14674	464578019
13073	32173	1205876264
13075	4118	117611455
13077	37140	1457133569
13079	1379	42025870
13081	8007	268012235
13083	3302	109082410
13085	8315	238074417
13087	8384	273461003
13089	294582	16134060801
13091	5025	153182672
13093	3654	121582552
13095	47030	1884939914
13097	41519	1498449709
13099	4285	174778815
13101	778	25953347
13103	9534	382526257
13105	5713	188910966
13107	6683	205376481
13109	4455	138872592
13111	6321	189553213
13113	42350	1744921924
13115	38726	1581829632
13117	71247	3466735788
13119	7813	275488690
13121	823703	59635343301
13123	7030	211339991
13125	425	10607820
13127	37606	1530247612
13129	20047	762635970
13131	5548	188233797
13133	5777	205501460
13135	342828	17597765052
13137	14565	505078057
13139	82224	3644556933
13141	1537	53019137
13143	6400	258623964
13145	4599	131450269
13147	6381	223484528
13149	2102	97984884
13151	56802	2053002598
13153	58776	2604771043
13155	1882	57853500
13157	24698	928287818
13159	2045	62814195
13161	4352	140452591
13163	4769	168897160
13165	1377	40003260
13167	1574	49672761
13169	4628	155542697
13171	3701	124722161
13173	1598	44308051
13175	18015	683101796
13177	6387	207794100
13179	18039	706186391
13181	1359	40451647
13183	925	28322045
13185	49061	1662049704
13187	7281	241497357
13189	6801	223151010
13191	1696	49122372
13193	2763	104780768
13195	3340	97957652
13197	1125	34251859
13199	4680	163351032
13201	1686	54633012
13205	7137	220879307
13207	7588	287794771
13209	1576	52441927
13211	6720	224910497
13213	10074	358930737
13215	93050	3959148044
13217	23510	951136463
13219	10705	398781885
13221	1647	51976405
13223	22760	796897607
13225	9090	355499395
13227	7535	327140388
13229	4079	137597133
13231	2878	93296598
13233	10874	394861146
13235	2824	99985923
13237	5513	173444917
13239	375	10631986
13241	4868	145547218
13243	1849	55737083
13245	104303	4603599144
13247	32051	1397987280
13249	958	32756888
13251	3386	110341595
13253	2304	76835131
13255	22302	756678145
13257	9216	339727105
13259	1156	45180500
13261	10793	379890465
13263	751	24699581
13265	189	4852400
13267	5768	194844444
13269	2292	80374155
13271	3467	96534786
13273	2353	75685610
13275	21093	849653220
13277	19054	692547649
13279	11601	388800286
13281	3577	100521031
13283	1133	30990512
13285	39276	1618627309
13287	2177	64552273
13289	2125	57937131
13291	7091	230598092
13293	6516	224034441
13295	12976	415652640
13297	21842	881040310
13299	15425	530923482
13301	1509	57638133
13303	6644	234089225
13305	7801	298909871
13307	464	17858590
13309	1173	36866118
13311	7559	242872674
13313	56662	2417303270
13315	1119	31107029
13317	3033	96314980
13319	3235	148547075
13321	3097	105288060
13999	138645	9997628482
