area_fips	annual_avg_emplvl	total_annual_wages
32001	7773	336201705
32003	936500	43685714266
32005	18787	812393381
32007	21797	1032217669
32009	360	18772183
32011	4535	431732308
32013	7542	416076486
32015	3338	251070904
32017	1231	43550915
32019	11439	453460702
32021	1588	72821557
32023	11264	555551366
32027	1820	95610561
32029	6641	336106675
32031	209985	9851736243
32033	4019	212285206
32510	28501	1349745648
32999	6521	522882843
