area_fips	annual_avg_emplvl	total_annual_wages
51001	13051	468950090
51003	53600	2796680195
51005	3793	129756262
51007	2462	85143662
51009	8409	299369605
51011	3194	90768533
51013	172888	14862535640
51015	27115	1136615593
51017	2308	88256010
51019	18876	685671749
51021	1907	79525662
51023	10286	396261814
51025	3940	135073822
51027	6489	268554142
51029	3286	118975472
51031	16716	738347388
51033	5725	215658038
51035	6471	195802739
51036	1560	64782930
51037	2909	99766738
51041	134066	6013852539
51043	3842	164024993
51045	692	23728222
51047	15481	634244641
51049	1359	43786104
51051	3321	123470355
51053	8470	334439978
51057	3979	128838769
51059	595313	48498252279
51061	22054	1037130719
51063	3116	90808844
51065	4190	160061022
51067	14689	475696653
51069	30204	1279030085
51071	4691	180058290
51073	9341	306140351
51075	15399	1338038045
51077	2650	79179202
51079	3669	125256950
51081	4603	173512835
51083	12105	427198874
51085	50324	2088979513
51087	189377	9810817906
51089	15546	496982079
51091	500	15134530
51093	10806	460261257
51095	28975	1089008424
51097	927	34771438
51099	11418	832985225
51101	3854	165784204
51103	4509	158654848
51105	4474	145864323
51107	159753	9786620711
51109	9140	437026749
51111	2555	83919294
51113	3097	109859996
51115	1493	41267469
51117	11772	389248566
51119	3287	109705459
51121	41878	1754495673
51125	3972	129655623
51127	4320	157487158
51131	5197	164542946
51133	2491	94196223
51135	5717	194642698
51137	9735	347909489
51139	5531	168476046
51141	5432	144765251
51143	12136	397637769
51145	6987	273357757
51147	8971	307643414
51149	14930	753422427
51153	126283	5817089922
51155	13548	494881913
51157	1524	78872265
51159	2861	105543212
51161	38238	1532346522
51163	5740	176660709
51165	31921	1337412362
51167	6992	267470970
51169	4627	144688276
51171	13754	479307952
51173	12793	434271007
51175	3709	125658477
51177	35000	1322795028
51179	42575	2082855678
51181	2326	168493960
51183	3762	135907269
51185	14685	473212097
51187	12076	450707081
51191	20645	730955147
51193	3424	102924452
51195	11471	386077214
51197	11697	382172432
51199	21738	814811259
51510	94885	7020455007
51520	9498	349650052
51530	2475	84571539
51540	39564	2034241743
51550	98448	4051187547
51570	10905	335575243
51580	4063	199135628
51590	26956	948866563
51595	3274	99092521
51600	19227	1045032006
51610	11701	770641985
51620	4412	132404561
51630	23947	1011589839
51640	6283	184613608
51650	53937	2438781023
51660	31363	1112149335
51670	7650	413392450
51678	4850	197187307
51680	51272	2154482004
51683	22621	1358097018
51685	3282	148661374
51690	9060	308343772
51700	96225	4923559219
51710	140246	7403619104
51720	3627	131895660
51730	13244	511857598
51735	1740	54083309
51740	43715	2225177817
51750	5957	255143918
51760	153128	8937242422
51770	67358	3054607410
51775	20321	955247947
51790	11099	378195772
51800	29850	1379743527
51810	176470	7235788286
51820	9716	355781483
51830	13064	517341531
51840	24890	1164651249
51999	100712	8149046933
