area_fips	annual_avg_emplvl	total_annual_wages
20001	5476	178820880
20003	2065	65625035
20005	5537	200610402
20007	1644	53187703
20009	12089	422303449
20011	6320	207734999
20013	4876	169006675
20015	18714	674189851
20017	844	26239718
20019	762	21260611
20021	5938	217261351
20023	904	27120148
20025	753	29182706
20027	3013	90098763
20029	3313	97813698
20031	3910	236694113
20033	669	17940573
20035	14147	516348122
20037	16969	561545426
20039	946	24662621
20041	6268	199797201
20043	2373	81916573
20045	49208	1828523306
20047	1074	42069237
20049	587	13162994
20051	15047	544784561
20053	2299	77796351
20055	18895	709652046
20057	17667	665667931
20059	9534	349091514
20061	13667	520085609
20063	1225	37100995
20065	876	28461316
20067	3231	142343887
20069	3100	111474082
20071	687	22468702
20073	1691	50577878
20075	1330	45867768
20077	2335	81990045
20079	14178	511806574
20081	1857	73202313
20083	559	17467737
20085	4185	131499426
20087	3678	132144303
20089	743	20780706
20091	337859	18252107955
20093	1293	46747789
20095	2391	84835584
20097	1252	41761415
20099	9295	315957530
20101	651	23458319
20103	20855	913385782
20105	939	28596823
20107	2141	92091983
20109	1250	38441202
20111	15186	498179089
20113	14373	604281690
20115	3504	103359152
20117	4494	154873478
20119	1680	64710642
20121	8353	305201110
20123	3242	107276953
20125	14978	495035551
20127	1481	42811453
20129	965	32069433
20131	5479	200628796
20133	6020	204594659
20135	1115	38911458
20137	2444	85732887
20139	2824	74774617
20141	1437	42732012
20143	1347	38566726
20145	2999	103845294
20147	2461	84333785
20149	9387	368110499
20151	4515	161065169
20153	929	30221389
20155	26418	935017341
20157	2001	55390833
20159	3831	128918886
20161	28749	1102539507
20163	1853	61214005
20165	1113	34437005
20167	2613	85657506
20169	30149	1129888410
20171	2225	80043691
20173	248772	11367242466
20175	11098	389593822
20177	97321	4208373602
20179	957	35585044
20181	2437	79930918
20183	1268	35977919
20185	1274	37881755
20187	808	29145607
20189	1919	66524156
20191	7086	238080504
20193	4020	139090581
20195	1294	39508294
20197	1339	38996489
20199	533	16463206
20201	2045	55302642
20203	765	27273521
20205	3690	127569541
20207	689	17446761
20209	90545	4622332375
20999	21537	1361935649
