area_fips	annual_avg_emplvl	total_annual_wages
45001	5503	194659409
45003	58966	2826227477
45005	2707	106577788
45007	64295	2432868436
45009	3952	127257660
45011	5085	167355020
45013	63198	2395011377
45015	48196	2329386065
45017	4664	200058616
45019	241962	11394570875
45021	19125	678102354
45023	8341	333792151
45025	14802	538361159
45027	6807	204906817
45029	10787	340446904
45031	19993	888189245
45033	8730	276230825
45035	33298	1181734940
45037	5609	204287485
45039	10433	691136791
45041	62254	2384166902
45043	23113	867357445
45045	262325	12104738937
45047	28694	1098736649
45049	4649	180691670
45051	122156	3919487355
45053	8568	318470961
45055	18324	697302232
45057	23430	1043694017
45059	21855	849517455
45061	3419	121648338
45063	116084	4674477903
45065	1675	57167414
45067	6431	205184417
45069	6639	271935793
45071	14637	512655973
45073	23301	1087104381
45075	28506	1050349481
45077	34373	1340927770
45079	217303	9840028809
45081	4498	141763832
45083	131655	5950249948
45085	36938	1330682047
45087	7747	261338538
45089	9343	331736204
45091	88726	3769704599
45999	53202	3681494696
