area_fips	annual_avg_emplvl	total_annual_wages
53001	7985	297857472
53003	5986	213896379
53005	84869	4462386847
53007	43248	1619855614
53009	22688	850259753
53011	149070	7276706594
53013	1246	48568244
53015	37987	1740119231
53017	12002	421698796
53019	1759	67506768
53021	33839	1289180382
53023	725	30153565
53025	38806	1497499421
53027	22211	845594320
53029	15796	588989694
53031	8382	308768991
53033	1315662	100973689956
53035	86369	4181043401
53037	14393	560929574
53039	7110	329609396
53041	24685	962698496
53043	2769	97220607
53045	14034	536671984
53047	18523	571341700
53049	6416	219047412
53051	3024	140451430
53053	295451	14126425023
53055	5707	193130291
53057	49585	2190359212
53059	2190	75834198
53061	283295	16265834049
53063	215023	9622511606
53065	10349	377001815
53067	110219	5273064215
53069	700	23942307
53071	27381	1126484048
53073	88102	3808186079
53075	18391	834034585
53077	111530	4090291874
53999	17505	1623357032
