area_fips	annual_avg_emplvl	total_annual_wages
42001	34550	1350462053
42003	688600	39498008268
42005	16382	630022299
42007	51139	2140808332
42009	15330	535289320
42011	170657	8135546870
42013	58532	2274983216
42015	23270	997058916
42017	259721	13008047082
42019	84971	4162030328
42021	52446	1936747482
42023	1942	73585658
42025	17038	589451671
42027	68696	3268731121
42029	248027	16581216819
42031	13391	460260866
42033	29473	1095484315
42035	12864	523322752
42037	24896	962323854
42039	30768	1151101288
42041	132087	6267950728
42043	179997	9354798195
42045	219145	12432723446
42047	14905	612262506
42049	122533	5006869727
42051	39259	1453664126
42053	2021	89565535
42055	57941	2369298937
42057	4848	211060119
42059	13047	676682923
42061	12349	457871727
42063	29862	1279721450
42065	15246	567258804
42067	6374	218657403
42069	97353	3921881050
42071	234156	10305707198
42073	28146	1086768699
42075	49173	1968083925
42077	186616	9795292396
42079	143619	5934908723
42081	51113	2095594898
42083	15223	602862180
42085	47061	1853399670
42087	15507	581708065
42089	55345	2272925453
42091	484289	32055851693
42093	15378	1016945864
42095	111869	5099080295
42097	27719	1075100533
42099	7827	251446209
42101	663398	41543146636
42103	11227	368765883
42105	5272	205547193
42107	49794	1948605404
42109	16179	565904262
42111	23772	870334364
42113	1640	55024207
42115	9081	329815800
42117	12675	488409832
42119	17385	738934659
42121	18167	676427915
42123	14672	571487907
42125	85474	4538464863
42127	14745	557967792
42129	132976	5592879637
42131	9708	441727719
42133	176421	8076080301
42999	152472	13141381918
